SlNo,ReleaseDate,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
1,18-Apr-14,2States,LW,Romance,36,104,8576361,26622,2527
2,4-Jan-13,TableNo.21,N,Thriller,10,12,1087320,1129,137
3,18-Jul-14,AmitSahniKiList,N,Comedy,10,4,572336,586,54
4,4-Jan-13,RajdhaniExpress,N,Drama,7,0.35,42626,86,19
5,4-Jul-14,BobbyJasoos,N,Comedy,18,10.8,3113427,4512,1224
6,30-May-14,Citylights,HS,Drama,7,35,1076591,1806,84
7,19-Sep-14,Daawat-E-Ishq,N,Comedy,30,24.6,3905050,8315,1373
8,11-Jan-13,MatruKiBijleeKaMandola,N,Comedy,33,40,2435283,4326,647
9,10-Jan-14,DedhIshqiya,LW,Comedy,31,27,2333067,2436,591
10,11-Jan-13,Gangoobai,N,Drama,2,0.01,4354,1,1
11,28-Mar-14,Dishkiyaoon,N,Action,28,6,2397647,3308,465
12,18-Jan-13,Inkaar,N,Romance,5,10.25,1077723,897,114
13,27-Jun-14,EkVillain,HS,Romance,35,105.5,4518748,13558,1094
14,18-Jan-13,MumbaiMirror,N,Action,4,1.8,235767,192,164
15,8-Aug-14,Entertainment,N,Comedy,60,163,6336058,20472,2843
16,18-Jan-13,Bandook,N,Action,4,0.09,28391,8,14
17,25-Jan-13,Race2,LW,Thriller,60,162,7641333,12617,2138
18,6-Jun-14,Filmistaan,HS,Comedy,10,6,989096,1608,173
19,12-Sep-14,FindingFanny,N,Comedy,15,58.9,6144142,13013,2746
20,13-Jun-14,Fugly,HS,Comedy,10,12.6,2343109,2963,556
21,1-Feb-13,David,N,Thriller,10,3.65,839270,1542,95
22,7-Mar-14,GulaabGang,N,Action,27,14.3,4687259,13219,1605
23,14-Feb-14,Gunday,N,Action,50,76.7,3503887,8383,1419
24,2-Oct-14,Haider,FS,Drama,24,69,7048104,23590,2443
25,21-Nov-14,HappyEnding,N,Romance,48,21.5,5192338,6928,1120
26,8-Feb-13,Special26,N,Drama,42,103,1829417,6248,568
27,24-Oct-14,HappyNewYear,LW,Drama,125,383,6395202,37585,10269
28,8-Feb-13,ABCD_AnyBodyCanDance,N,Drama,12,44,4042091,10609,788
29,18-Jul-14,HateStory2,N,Thriller,12,27.16,13798789,15708,5226
30,9-May-14,HawaaHawaai,HS,Drama,11,10,764725,1377,94
31,7-Feb-14,Heartless,N,Thriller,12,1.5,4823892,5797,227
32,15-Feb-13,Murder3,FS,Thriller,12,25,2249055,1879,747
33,23-May-14,Heropanti,HS,Romance,21,65,4005695,8189,1814
34,22-Feb-13,KaiPoChe!,N,Drama,30,62.2,1888754,5686,512
35,21-Feb-14,Highway,N,Drama,30,27.25,3043012,9100,971
36,22-Feb-13,ZillaGhaziabad,N,Action,36,16,1551786,1753,619
37,6-Jun-14,Holiday,HS,Action,50,129,6841635,14182,1997
38,11-Jul-14,HumptySharmaKiDulhania,N,Romance,20,130,6604595,14535,2208
39,1-Mar-13,TheAttacksof26/11,N,Thriller,30,32,1041892,1911,344
40,20-Jun-14,Humshakals,HS,Comedy,75,63.7,6280868,1,1
41,8-Mar-13,"Saheb,BiwiAurGangsterReturns",FS,Drama,15,22,1176596,1037,189
42,24-Jan-14,JaiHo,N,Action,120,111,868743,2783,404
43,19-Sep-14,Khoobsurat,N,Romance,12,39.4,5454349,12548,2038
44,25-Jul-14,Kick,N,Action,100,377,18986221,101275,10066
45,15-Mar-13,3G,N,Thriller,5,5.82,1200152,1385,345
46,14-Nov-14,KillDil,N,Romance,35,36,2375050,4358,555
47,15-Mar-13,MereDadKiMaruti,N,Comedy,5,11,569711,1226,133
48,15-Mar-13,JollyLLB,N,Comedy,10,32.7,1741424,3024,181
49,9-May-14,Koyelaanchal,HS,Action,8,2,591838,347,31
50,2-May-14,KyaDilliKyaLahore,HS,Drama,7,0.5,492344,2018,64
51,4-Jul-14,LekarHumDeewanaDil,N,Romance,16,2.5,3998331,2307,497
52,22-Mar-13,Aatma,N,Thriller,8,8.78,841891,997,306
53,4-Apr-14,MainTeraHero,LW,Comedy,40,55,4903941,12657,2139
54,22-Mar-13,SonaSpa,N,Thriller,10,0.24,79430,61,112
55,29-Mar-13,Himmatwala,N,Action,50,100,2501277,1,1
56,9-May-14,Manjunath,HS,Drama,3,1.75,370106,991,35
57,22-Aug-14,Mardaani,N,Drama,15,36,4376650,14408,1035
58,5-Apr-13,ChashmeBaddoor,N,Comedy,20,42,166066,2897,283
59,5-Sep-14,MaryKom,N,Drama,15,104,6086811,26560,1647
60,12-Apr-13,NautankiSaala,LW,Comedy,9,21.5,1208841,1442,342
61,9-May-14,Mastram,HS,Comedy,2,3,3557585,3927,1364
62,12-Apr-13,Commando-AOneManArmy,LW,Action,22,21,3162465,7519,562
63,19-Apr-13,EkThiDaayan,FS,Thriller,24,45,1837437,3296,613
64,17-Jan-14,MissLovely,N,Drama,5,0.7,808439,328,95
65,26-Apr-13,Aashiqui2,N,Romance,12,110,2926673,4944,628
66,28-Mar-14,OTeri,N,Comedy,21,3.75,1511318,3004,278
67,31-Jan-14,OnebyTwo,N,Romance,12,2.5,1016858,1081,212
68,2-May-14,PuraniJeans,HS,Romance,10,1.1,1537063,822,229
69,3-May-13,ShootoutatWadala,N,Thriller,45,75,769365,784,126
70,7-Mar-14,Queen,N,Drama,25,61,2981381,5339,443
71,3-May-13,BombayTalkies,N,Drama,6,14.3,1528538,2766,328
72,21-Mar-14,RaginiMMS2,N,Thriller,18,50,5416213,6807,2717
73,10-May-13,GoGoaGone,N,Comedy,16,28.2,4321162,10126,964
74,29-Aug-14,RajaNatwarlal,N,Thriller,35,29.6,4050407,8197,1155
75,25-Apr-14,RevolverRani,N,Drama,24,10,1744602,3013,392
76,28-Feb-14,ShaadiKeSideEffects,N,Comedy,50,37.8,4590539,9021,1465
77,17-May-13,Aurangzeb,N,Drama,20,23,1901503,3394,754
78,3-Jan-14,Sholay3D,N,Action,25,11,1001670,2110,268
79,15-Aug-14,SinghamReturns,LW,Action,90,200,8287587,20011,2899
80,7-Nov-14,TheShaukeens,N,Comedy,35,32.5,3395361,8395,1204
81,24-May-13,IshkqinParis,LW,Romance,15,2.13,630506,463,83
82,28-Nov-14,Ungli,N,Drama,5,13.8,2763615,6907,489
83,31-May-13,YehJawaaniHaiDeewani,N,Romance,70,311,5123217,13826,1640
84,10-Jan-14,Yaariyan,LW,Romance,19,40,3331082,4853,767
85,7-Jun-13,YamlaPaglaDeewana2,N,Comedy,24,55,2775792,5457,681
86,9-May-14,YehHaiBakrapur,HS,Comedy,5,2,1257416,758,923
87,28-Mar-14,Youngistaan,N,Drama,26,6.75,603710,1082,177
88,14-Jun-13,Fukrey,N,Comedy,5,36.2,227912,222,39
89,28-Nov-14,Zid,N,Thriller,20,14.05,6698987,6750,2234
90,19-Dec-14,PK,HS,Drama,85,735,13270623,43767,5693
91,21-Jun-13,Raanjhanaa,N,Romance,35,100,5470632,12413,1018
92,5-Dec-14,ActionJackson,N,Action,90,57.45,13279636,19240,3859
93,2-Oct-14,BangBang,FS,Action,140,340,15889811,61805,6283
94,21-Jun-13,ShortcutRomeo,N,Thriller,15,2.58,1131573,913,255
95,12-Sep-14,Creature,N,Thriller,24,20,2876498,5844,1537
96,28-Jun-13,Ghanchakkar,N,Comedy,30,38,2248046,5108,614
97,2-Oct-13,Besharam,LW,Comedy,85,35,5319606,10253,8165
98,5-Jul-13,Lootera,N,Romance,27,28,2581449,4416,819
99,18-Jul-14,Pizza3D,N,Thriller,10,4.35,838943,1116,153
100,16-May-14,TheXpose,HS,Thriller,16,29,3707889,3512,1292
101,5-Jul-13,Policegiri,N,Action,30,16.8,1754266,1674,420
102,12-Jul-13,BhaagMilkhaBhaag,N,Drama,30,164,2635390,4622,456
103,25-Apr-14,Kaanchi,N,Drama,31,4,2360968,2807,595
104,25-Apr-14,SamratandCo.,N,Thriller,18,2,371133,532,180
105,12-Jul-13,B.A.Pass,N,Drama,2,5.9,2240961,842,348
106,19-Jul-13,RamaiyaVastavaiya,N,Romance,35,30,3788488,4111,687
107,14-Mar-14,Bewakoofiyan,FS,Romance,22,14,2850376,4764,1068
108,19-Jul-13,DDay,N,Action,30,24,1939868,1804,224
109,21-Feb-14,Darr@TheMall,N,Thriller,15,4.5,1679872,255,51
110,26-Jul-13,Issaq,N,Romance,10,5,68511,76,16
111,7-Feb-14,HaseeToPhansee,N,Romance,27,35.5,2543707,6390,975
112,26-Jul-13,BajateyRaho,N,Comedy,5,10,462722,513,77
113,3-Jan-14,MrJoeBCarvalho,N,Comedy,15,4,268289,139,40
114,26-Jul-13,Nasha,N,Thriller,4,8,613448,288,188
115,11-Apr-14,BhootnathReturns,LW,Thriller,29,53,3049275,10759,657
116,9-Aug-13,ChennaiExpress,FS,Comedy,75,395,1882346,7954,1593
117,15-Aug-13,OnceUponAyTimeInMumbaiDobaara!,FS,Thriller,100,80,3077135,9200,2821
118,23-Aug-13,MadrasCafe,N,Thriller,35,42.7,1709945,2974,594
119,30-Aug-13,Satyagraha,N,Drama,50,60,1422568,2736,394
120,1-Nov-13,Krrish3,FS,Action,115,300,23171067,72070,11888
121,7-Mar-14,TotalSiyappa,N,Drama,10,12,1719399,3656,548
122,8-Nov-13,Satya2,FS,Thriller,15,1.1,110315,89,26
123,15-Nov-13,Rajjo,FS,Romance,12,2,1718619,1606,1083
124,22-Nov-13,GoriTerePyaarMein,N,Romance,30,12.65,3799253,8559,1871
125,29-Nov-13,BullettRaja,N,Comedy,50,40,4015674,8084,2129
126,11-Oct-13,WarChhodNaYaar,FS,Comedy,14,7.5,40450,33,7
127,11-Oct-13,BaatBanGayi,FS,Comedy,4,1.5,23186,9,4
128,16-Oct-13,Boss,FS,Drama,50,45,6464704,22977,3396
129,18-Oct-13,Shahid,FS,Drama,6,40,1148516,3155,396
130,25-Oct-13,MickeyVirus,N,Comedy,11,6,335807,574,129
131,6-Sep-13,Zanjeer,LW,Action,75,18.2,2539431,5634,922
132,6-Sep-13,ShuddhDesiRomance,LW,Romance,25,55,5142,1,1
133,13-Sep-13,GrandMasti,LW,Comedy,35,298,1795640,3015,721
134,16-May-14,ChildrenOfWar,HS,Drama,12,22,577569,1640,156
135,20-Sep-13,PhataPosterNiklaHero,N,Drama,40,34,5176897,10672,1392
136,20-Sep-13,TheLunchbox,N,Drama,10,85,1064854,4054,285
137,9-Jan-15,Tevar,N,Action,40,56,6132407,11241,1729
138,16-Jan-15,Alone,N,Thriller,18,25,8788913,18907,2940
139,23-Jan-15,Baby,N,Action,60,125,7968156,29246,2426
140,30-Jan-15,Hawaizaada,N,Drama,25,30.25,2368404,8619,539
141,30-Jan-15,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
142,6-Feb-15,Shamitabh,N,Drama,40,38,2105508,5599,677
143,13-Feb-15,Roy,FS,Romance,40,58,7687797,18974,3229
144,20-Feb-15,Badlapur,FS,Action,23,77,4550051,10602,893
145,27-Feb-15,DumLagaKeHaisha,N,Comedy,15,30,3250917,8185,615
146,13-Mar-15,NH10,N,Thriller,13,32.1,5592977,15464,1513
147,20-Mar-15,DilliwaliZaalimGirlfriend,N,Comedy,32,12,2316047,4289,807
148,20-Mar-15,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
149,23-May-14,Kochadaiiyaan,HS,Action,150,120,4740727,13466,2649
